Timestamp,SeriesCode,Series,Lost megawatts
10/01/2024 11:00:00,NZ_W,Wind,193.9
10/01/2024 11:00:00,UNKN,Unknown,74.0
10/01/2024 12:00:00,NZ_G,Geothermal,45.7
10/01/2024 12:00:00,NZ_H,Hydro,1246.0
10/01/2024 12:00:00,NZ_T,Thermal,521.0
10/01/2024 12:00:00,NZ_W,Wind,193.9
10/01/2024 12:00:00,UNKN,Unknown,74.0
10/01/2024 13:00:00,NZ_G,Geothermal,45.7
10/01/2024 13:00:00,NZ_H,Hydro,1228.0
10/01/2024 13:00:00,NZ_T,Thermal,521.0
10/01/2024 13:00:00,NZ_W,Wind,193.9
10/01/2024 13:00:00,UNKN,Unknown,74.0
10/01/2024 13:30:00,NZ_G,Geothermal,45.7
10/01/2024 13:30:00,NZ_H,Hydro,1228.0
10/01/2024 13:30:00,NZ_T,Thermal,521.0
10/01/2024 13:30:00,NZ_W,Wind,193.9
10/01/2024 13:30:00,UNKN,Unknown,74.0
10/01/2024 15:00:00,NZ_G,Geothermal,45.7
10/01/2024 15:00:00,NZ_H,Hydro,1228.0
10/01/2024 15:00:00,NZ_T,Thermal,521.0
10/01/2024 15:00:00,NZ_W,Wind,193.9
10/01/2024 15:00:00,UNKN,Unknown,68.0
10/01/2024 16:00:00,NZ_G,Geothermal,45.7
10/01/2024 16:00:00,NZ_H,Hydro,1153.0
10/01/2024 16:00:00,NZ_T,Thermal,521.0
10/01/2024 16:00:00,NZ_W,Wind,193.9
10/01/2024 16:00:00,UNKN,Unknown,65.0
10/01/2024 16:30:00,NZ_G,Geothermal,45.7
10/01/2024 16:30:00,NZ_H,Hydro,1117.8
10/01/2024 16:30:00,NZ_T,Thermal,521.0
10/01/2024 16:30:00,NZ_W,Wind,193.9
10/01/2024 16:30:00,UNKN,Unknown,65.0
10/01/2024 17:00:00,NZ_G,Geothermal,45.7
10/01/2024 17:00:00,NZ_H,Hydro,1007.8
10/01/2024 17:00:00,NZ_T,Thermal,521.0
10/01/2024 17:00:00,NZ_W,Wind,193.9
10/01/2024 17:00:00,UNKN,Unknown,65.0
10/01/2024 17:30:00,NZ_G,Geothermal,45.7
10/01/2024 17:30:00,NZ_H,Hydro,891.8
10/01/2024 17:30:00,NZ_T,Thermal,521.0
10/01/2024 17:30:00,NZ_W,Wind,193.9
10/01/2024 17:30:00,UNKN,Unknown,65.0
11/01/2024 09:00:00,NZ_G,Geothermal,45.7
11/01/2024 09:00:00,NZ_H,Hydro,912.8
11/01/2024 09:00:00,NZ_T,Thermal,521.0
11/01/2024 09:00:00,NZ_W,Wind,193.9
11/01/2024 09:00:00,UNKN,Unknown,66.0
11/01/2024 10:00:00,NZ_G,Geothermal,45.7
11/01/2024 10:00:00,NZ_H,Hydro,922.8
11/01/2024 10:00:00,NZ_T,Thermal,521.0
11/01/2024 10:00:00,NZ_W,Wind,193.9
11/01/2024 10:00:00,UNKN,Unknown,66.0
11/01/2024 11:00:00,NZ_G,Geothermal,45.7
11/01/2024 11:00:00,NZ_H,Hydro,891.8
11/01/2024 11:00:00,NZ_T,Thermal,521.0
11/01/2024 11:00:00,NZ_W,Wind,193.9
11/01/2024 11:00:00,UNKN,Unknown,66.0
11/01/2024 13:00:00,NZ_G,Geothermal,45.7
11/01/2024 13:00:00,NZ_H,Hydro,922.8
11/01/2024 13:00:00,NZ_T,Thermal,521.0
11/01/2024 13:00:00,NZ_W,Wind,193.9
11/01/2024 13:00:00,UNKN,Unknown,66.0
11/01/2024 15:00:00,NZ_G,Geothermal,45.7
11/01/2024 15:00:00,NZ_H,Hydro,891.8
11/01/2024 15:00:00,NZ_T,Thermal,521.0
11/01/2024 15:00:00,NZ_W,Wind,193.9
11/01/2024 15:00:00,UNKN,Unknown,66.0
11/01/2024 16:30:00,NZ_G,Geothermal,45.7
11/01/2024 16:30:00,NZ_H,Hydro,891.8
11/01/2024 16:30:00,NZ_T,Thermal,521.0
11/01/2024 16:30:00,NZ_W,Wind,193.9
11/01/2024 16:30:00,UNKN,Unknown,65.0
12/01/2024 03:04:00,NZ_G,Geothermal,45.7
12/01/2024 03:04:00,NZ_H,Hydro,906.8
12/01/2024 03:04:00,NZ_T,Thermal,521.0
12/01/2024 03:04:00,NZ_W,Wind,193.9
12/01/2024 03:04:00,UNKN,Unknown,65.0
12/01/2024 08:00:00,NZ_G,Geothermal,50.7
